Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
High,28,22,23,23,22,19,19,22,15,12,16,21,23,23,24,21,15,14,17,20,21,21,19,15,18,18,19,21,18,20
Low,14,18,18,14,14,13,11,11,10,7,7,7,11,12,13,13,7,5,4,6,9,11,10,7,6,8,9,8,7,10
