Rank,58,61,112,124,131,138,145,208,212,214,232,278,398
University,University of Amsterdam,Delft University of Technology,Utrecht University,Wageningen University & Research,Leiden University,Eindhoven University of Technology,University of Groningen,Erasmus University Rotterdam,University of Twente,Vrije University Amsterdam,Radboud University,Maastricht University,Tilburg University
Location,"Amsterdam, Netherlands","Delft, Netherlands","Utrecht, Netherlands","Wageningen, Netherlands","Leiden, Netherlands","Eindhoven, Netherlands","Groningen, Netherlands"," Rotterdam, Netherlands","Enschede, Netherlands","Amsterdam, Netherlands","Nijmegen, Netherlands","Maastricht, Netherlands","Tilburg, Netherlands"
Score,71.1,70,56.3,54.6,54.1,52.7,51.4,42.6,42.6,42.4,42.3,36.7,28.6
