Date,Open,High,Low,Close,Volume
07/12/2021 15:30,79900,80000,79500,79700,9768108
7/13/2021 15:30:00,80000,80200,79800,79800,9863450
7/14/2021 15:30:00,79400,79600,79100,79500,11575636
7/15/2021 15:30:00,79800,80600,79500,80600,13766279
7/16/2021 15:30:00,80100,80100,79500,79800,10859399
7/19/2021 15:30:00,79100,79200,78800,79000,13155414
7/20/2021 15:30:00,78500,79000,78400,79000,12456646
7/21/2021 15:30:00,79000,79100,78500,78500,12355296
7/22/2021 15:30:00,79000,79800,78900,79700,12618790
7/23/2021 15:30:00,79700,79900,79200,79300,9098910
7/26/2021 15:30:00,79400,79500,78800,78800,10040975
7/27/2021 15:30:00,79200,79400,78500,78500,11427693
7/28/2021 15:30:00,78300,79200,78100,79200,12743417
7/29/2021 15:30:00,78800,79400,78800,79000,14360453
7/30/2021 15:30:00,78900,78900,78500,78500,13823411
08/2/2021 15:30,79200,79500,78700,79300,11739124
08/3/2021 15:30,79400,81400,79300,81400,24339360
08/4/2021 15:30,82200,83100,81800,82900,25642368
08/5/2021 15:30,83300,83300,82000,82100,18485469
08/6/2021 15:30,81900,82500,81300,81500,13342623
08/9/2021 15:30,81500,82300,80900,81500,15522581
08/10/2021 15:30,82300,82400,80100,80200,20362639
08/11/2021 15:30,79600,79800,78500,78500,30241137
08/12/2021 15:30,77100,78200,76900,77000,42365223
8/13/2021 15:30:00,75800,76000,74100,74400,61270643
8/17/2021 15:30:00,74000,75100,74000,74200,30944847
8/18/2021 15:30:00,73900,74600,73100,73900,29192631
8/19/2021 15:30:00,73500,74400,73100,73100,22166298
8/20/2021 15:30:00,73500,73900,72500,72700,22364803
8/23/2021 15:30:00,73300,74000,73000,73300,19384648
8/24/2021 15:30:00,73900,75700,73900,75600,21016913
8/25/2021 15:30:00,76200,76600,74900,75700,22319664
8/26/2021 15:30:00,76100,76200,74600,74600,16671494
8/27/2021 15:30:00,74300,75000,73800,74300,15172748
8/30/2021 15:30:00,75400,75500,74200,74600,12686999
8/31/2021 15:30:00,74900,76700,74300,76700,24630370
09/1/2021 15:30,76700,77100,75900,76800,16114775
09/2/2021 15:30,76800,76800,75700,76000,15347486
09/3/2021 15:30,76400,76700,76000,76600,12096419
09/6/2021 15:30,76800,77600,76600,77300,12861180
09/7/2021 15:30,77100,77100,75900,76100,13239401
09/8/2021 15:30,76000,76400,75600,76300,11798147
09/9/2021 15:30,76400,76600,75000,75300,17600770
09/10/2021 15:30,75300,75600,74800,75300,10103212
9/13/2021 15:30:00,75200,76300,75100,76300,11397775
9/14/2021 15:30:00,77100,77700,76600,76600,18167057
9/15/2021 15:30:00,77400,77400,76400,77000,12829128
9/16/2021 15:30:00,77300,77400,76100,76100,13067622
9/17/2021 15:30:00,76300,77200,75900,77200,16289502
9/23/2021 15:30:00,77500,77600,76800,77400,17055590
9/24/2021 15:30:00,77600,77700,77100,77300,12247274
9/27/2021 15:30:00,77300,77700,77000,77700,11699798
9/28/2021 15:30:00,77700,77800,76200,76300,15406382
9/29/2021 15:30:00,74800,75300,73800,74100,23992458
