Date,Open,High,Low,Close,Adj Close,Volume
2018-05-02,53000.000000,53000.000000,53000.000000,53000.000000,46324.003906,0
2018-05-03,53000.000000,53000.000000,53000.000000,53000.000000,46324.003906,0
2018-05-04,53000.000000,53900.000000,51800.000000,51900.000000,45362.566406,39565391
2018-05-08,52600.000000,53200.000000,51900.000000,52600.000000,45974.386719,23104720
2018-05-09,52600.000000,52800.000000,50900.000000,50900.000000,44488.531250,16128305
2018-05-10,51700.000000,51700.000000,50600.000000,51600.000000,45100.359375,13905263
2018-05-11,52000.000000,52200.000000,51200.000000,51300.000000,44838.144531,10314997
2018-05-14,51000.000000,51100.000000,49900.000000,50100.000000,43789.292969,14909272
2018-05-15,50200.000000,50400.000000,49100.000000,49200.000000,43002.667969,18709146
2018-05-16,49200.000000,50200.000000,49150.000000,49850.000000,43570.785156,15918683
2018-05-17,50300.000000,50500.000000,49400.000000,49400.000000,43177.468750,10365440
2018-05-18,49900.000000,49900.000000,49350.000000,49500.000000,43264.871094,6706570
2018-05-21,49650.000000,50200.000000,49100.000000,50000.000000,43701.902344,9020998
2018-05-23,50600.000000,52000.000000,50400.000000,51800.000000,45275.167969,17095490
2018-05-24,52000.000000,52000.000000,51100.000000,51400.000000,44925.550781,8289275
2018-05-25,51000.000000,52800.000000,50800.000000,52700.000000,46061.804688,15207266
2018-05-28,52500.000000,53000.000000,52000.000000,52300.000000,45712.187500,9787820
2018-05-29,52200.000000,52500.000000,51300.000000,51300.000000,44838.144531,8480437
2018-05-30,51300.000000,51500.000000,49100.000000,49500.000000,43264.871094,20498098
2018-05-31,50400.000000,50800.000000,49850.000000,50700.000000,44313.718750,63491109
2018-06-01,50500.000000,51700.000000,49950.000000,51300.000000,44838.144531,13038499
2018-06-04,50800.000000,51200.000000,50700.000000,51100.000000,44663.339844,9767171
2018-06-05,51100.000000,51400.000000,50400.000000,51300.000000,44838.144531,9144100
2018-06-07,51800.000000,51800.000000,50500.000000,50600.000000,44226.332031,13590016
2018-06-08,50200.000000,50400.000000,49600.000000,49650.000000,43395.976563,16951706
2018-06-11,49750.000000,50300.000000,49350.000000,49900.000000,43614.484375,10571312
2018-06-12,49700.000000,49800.000000,49250.000000,49400.000000,43177.468750,12110569
2018-06-14,49000.000000,49000.000000,48200.000000,48200.000000,42128.628906,20971729
2018-06-15,48500.000000,48700.000000,47650.000000,47650.000000,41647.906250,17080892
2018-06-18,47600.000000,47650.000000,46200.000000,46600.000000,40730.164063,16661870
2018-06-19,47200.000000,47350.000000,46500.000000,47000.000000,41079.777344,15217971
2018-06-20,47450.000000,47600.000000,46850.000000,47000.000000,41079.777344,12959316
2018-06-21,47900.000000,47900.000000,47050.000000,47050.000000,41123.480469,10015541
2018-06-22,47000.000000,47250.000000,46200.000000,47250.000000,41298.285156,10298006
2018-06-25,47050.000000,47050.000000,46150.000000,46650.000000,40773.871094,10587711
2018-06-26,45900.000000,47300.000000,45900.000000,47000.000000,41079.777344,11223166
2018-06-27,47450.000000,48500.000000,47000.000000,47950.000000,41910.113281,15274752
2018-06-28,46850.000000,47150.000000,46600.000000,46800.000000,41209.207031,12784800
2018-06-29,46250.000000,47150.000000,46200.000000,46650.000000,41077.125000,14099635
2018-07-02,46500.000000,47150.000000,45500.000000,45550.000000,40108.531250,13112253
2018-07-03,45750.000000,46450.000000,45750.000000,46150.000000,40636.847656,10959655
2018-07-04,46700.000000,47050.000000,46050.000000,46250.000000,40724.910156,8776763
2018-07-05,46100.000000,46550.000000,45600.000000,45950.000000,40460.753906,7039773
2018-07-06,45500.000000,45850.000000,44650.000000,44900.000000,39536.187500,17843706
2018-07-09,45500.000000,46100.000000,45200.000000,45600.000000,40152.562500,11602464
2018-07-10,46200.000000,46550.000000,46100.000000,46300.000000,40768.933594,10528665
2018-07-11,46400.000000,46450.000000,45400.000000,46000.000000,40504.777344,11224077
2018-07-12,45900.000000,46250.000000,45450.000000,45500.000000,40064.503906,11828104
2018-07-13,45800.000000,46500.000000,45750.000000,46500.000000,40945.042969,11543389
2018-07-16,46800.000000,46800.000000,46000.000000,46050.000000,40548.804688,7678719
2018-07-17,46150.000000,46200.000000,45600.000000,45850.000000,40372.695313,8892953
2018-07-18,46700.000000,47200.000000,46450.000000,46550.000000,40989.074219,10952645
2018-07-19,47050.000000,47200.000000,46600.000000,46900.000000,41297.261719,9880128
2018-07-20,47000.000000,47600.000000,46700.000000,47450.000000,41781.562500,10474547
2018-07-23,47100.000000,47200.000000,46150.000000,46500.000000,40945.042969,10823782
2018-07-24,46350.000000,46600.000000,45950.000000,46150.000000,40636.847656,8261363
2018-07-25,46250.000000,46550.000000,45900.000000,46150.000000,40636.847656,7222471
2018-07-26,46100.000000,47000.000000,46000.000000,46900.000000,41297.261719,7374946
2018-07-27,46450.000000,47000.000000,46450.000000,46900.000000,41297.261719,4762460
2018-07-30,46550.000000,46800.000000,46350.000000,46500.000000,40945.042969,5723035
2018-07-31,46200.000000,46450.000000,46000.000000,46250.000000,40724.910156,8033607
2018-08-01,46050.000000,46850.000000,46050.000000,46550.000000,40989.074219,7484499
2018-08-02,46550.000000,46800.000000,45500.000000,45550.000000,40108.531250,8560924
2018-08-03,45850.000000,45900.000000,45450.000000,45750.000000,40284.636719,8274944
2018-08-06,46150.000000,46150.000000,45750.000000,45800.000000,40328.664063,6771979
2018-08-07,46300.000000,46750.000000,45900.000000,46700.000000,41121.152344,9058174
2018-08-08,47000.000000,47000.000000,46550.000000,46800.000000,41209.207031,6429338
2018-08-09,47000.000000,47050.000000,46450.000000,46900.000000,41297.261719,12010886
2018-08-10,46150.000000,46400.000000,44850.000000,45400.000000,39976.457031,16670643
2018-08-13,44950.000000,45100.000000,44650.000000,45050.000000,39668.269531,9803831
2018-08-14,44850.000000,45400.000000,44850.000000,45150.000000,39756.320313,6409259
2018-08-16,43800.000000,44650.000000,43700.000000,44250.000000,38963.843750,10088229
2018-08-17,44050.000000,44400.000000,44050.000000,44100.000000,38831.746094,6808747
2018-08-20,43500.000000,44200.000000,43500.000000,43850.000000,38611.617188,7289124
2018-08-21,43700.000000,44900.000000,43700.000000,44800.000000,39448.136719,9520270
2018-08-22,45150.000000,46200.000000,44900.000000,46100.000000,40592.832031,11641656
2018-08-23,46150.000000,46200.000000,45700.000000,46200.000000,40680.886719,6730918
2018-08-24,45900.000000,46400.000000,45550.000000,46150.000000,40636.847656,6582535
2018-08-27,46100.000000,46550.000000,46000.000000,46300.000000,40768.933594,5263782
2018-08-28,46800.000000,46950.000000,46300.000000,46550.000000,40989.074219,7365976
2018-08-29,46750.000000,46800.000000,46400.000000,46800.000000,41209.207031,5572374
2018-08-30,46950.000000,47950.000000,46700.000000,47650.000000,41957.667969,12193231
2018-08-31,47100.000000,48450.000000,47000.000000,48450.000000,42662.097656,13577454
2018-09-03,48200.000000,48300.000000,47300.000000,47450.000000,41781.562500,8595084
2018-09-04,47550.000000,47800.000000,47200.000000,47650.000000,41957.667969,6791255
2018-09-05,47300.000000,47450.000000,46400.000000,46600.000000,41033.101563,9139998
2018-09-06,46200.000000,46400.000000,45800.000000,46100.000000,40592.832031,9040553
2018-09-07,44500.000000,45200.000000,44400.000000,44900.000000,39536.187500,18285508
2018-09-10,45450.000000,45550.000000,45000.000000,45500.000000,40064.503906,9979838
2018-09-11,45550.000000,45900.000000,45050.000000,45050.000000,39668.269531,9865790
2018-09-12,44900.000000,45100.000000,44500.000000,44550.000000,39227.996094,12995269
2018-09-13,44550.000000,44750.000000,44000.000000,44050.000000,38787.730469,18277942
2018-09-14,45000.000000,45850.000000,44900.000000,45850.000000,40372.695313,12446344
2018-09-17,45550.000000,45800.000000,44900.000000,45150.000000,39756.320313,8123384
2018-09-18,44950.000000,45900.000000,44700.000000,45500.000000,40064.503906,9987090
2018-09-19,46000.000000,46200.000000,45700.000000,46150.000000,40636.847656,9367454
2018-09-20,46850.000000,47600.000000,46400.000000,47250.000000,41605.445313,13536966
2018-09-21,46550.000000,47550.000000,46550.000000,47400.000000,41737.531250,14476906
2018-09-27,46950.000000,47500.000000,46450.000000,47500.000000,42140.296875,15804586
2018-09-28,47250.000000,47250.000000,46300.000000,46450.000000,41208.781250,11270515
2018-10-01,46450.000000,46800.000000,45800.000000,46350.000000,41120.066406,6354983
2018-10-02,46450.000000,46700.000000,45700.000000,45700.000000,40543.410156,6607188
2018-10-04,45150.000000,45600.000000,44700.000000,44700.000000,39656.250000,11865327
2018-10-05,44800.000000,45500.000000,44550.000000,44700.000000,39656.250000,10544165
2018-10-08,44200.000000,45200.000000,44200.000000,44950.000000,39878.035156,6759464
2018-10-10,45250.000000,45500.000000,44500.000000,45300.000000,40188.542969,10341349
2018-10-11,44000.000000,44650.000000,43100.000000,43100.000000,38236.781250,19324537
2018-10-12,43200.000000,44650.000000,43200.000000,44000.000000,39035.222656,12640906
2018-10-15,44050.000000,44050.000000,43350.000000,43800.000000,38857.800781,7434522
2018-10-16,43700.000000,44150.000000,43350.000000,43600.000000,38680.363281,6825677
2018-10-17,44150.000000,44500.000000,44000.000000,44150.000000,39168.300781,8306193
2018-10-18,43950.000000,44450.000000,43700.000000,44050.000000,39079.589844,8347725
2018-10-19,43900.000000,44150.000000,43450.000000,43900.000000,38946.511719,7842520
2018-10-22,43450.000000,43950.000000,43200.000000,43550.000000,38636.003906,8357648
2018-10-23,43300.000000,43450.000000,42550.000000,43050.000000,38192.425781,9531231
2018-10-24,43050.000000,43100.000000,42250.000000,42550.000000,37748.835938,13522825
2018-10-25,40600.000000,41550.000000,40550.000000,41000.000000,36373.738281,19338170
2018-10-26,41100.000000,41300.000000,40400.000000,41000.000000,36373.738281,14413864
2018-10-29,40850.000000,41950.000000,40550.000000,41400.000000,36728.601563,14460521
2018-10-30,41400.000000,43000.000000,41000.000000,42350.000000,37571.410156,14205190
2018-10-31,42900.000000,43350.000000,41700.000000,42400.000000,37615.773438,17621480
2018-11-01,42450.000000,42950.000000,42150.000000,42150.000000,37393.984375,13423132
2018-11-02,43050.000000,44250.000000,42800.000000,44150.000000,39168.300781,16517112
2018-11-05,43750.000000,43800.000000,42900.000000,43800.000000,38857.800781,9426777
2018-11-06,43750.000000,43800.000000,42950.000000,43750.000000,38813.437500,7713625
2018-11-07,43600.000000,44500.000000,43400.000000,44000.000000,39035.222656,11553998
2018-11-08,44900.000000,45050.000000,44050.000000,44050.000000,39079.589844,12617397
2018-11-09,44450.000000,44850.000000,43900.000000,44300.000000,39301.378906,7318500
2018-11-12,43850.000000,45250.000000,43700.000000,45200.000000,40099.824219,8552566
2018-11-13,43900.000000,44500.000000,43400.000000,44500.000000,39478.808594,9311126
2018-11-14,44500.000000,44500.000000,43800.000000,44100.000000,39123.941406,6783344
2018-11-15,44050.000000,44350.000000,43500.000000,44250.000000,39257.023438,5864067
2018-11-16,44600.000000,44750.000000,43700.000000,44000.000000,39035.222656,7777124
2018-11-19,44050.000000,44250.000000,43450.000000,43650.000000,38724.722656,7538720
2018-11-20,42450.000000,43000.000000,42100.000000,42800.000000,37970.632813,9420664
2018-11-21,41800.000000,42300.000000,41800.000000,42100.000000,37349.621094,10769589
2018-11-22,42000.000000,42650.000000,42000.000000,42450.000000,37660.125000,5970796
2018-11-23,42450.000000,42600.000000,41900.000000,42400.000000,37615.773438,5192638
2018-11-26,42150.000000,42800.000000,42100.000000,42600.000000,37793.199219,6613009
2018-11-27,42900.000000,43100.000000,42500.000000,43050.000000,38192.425781,8367091
2018-11-28,42800.000000,43200.000000,42750.000000,43150.000000,38281.140625,6943099
2018-11-29,43850.000000,43850.000000,42900.000000,43150.000000,38281.140625,8473511
2018-11-30,43450.000000,44000.000000,41750.000000,41850.000000,37127.824219,19775519
2018-12-03,42750.000000,43400.000000,42400.000000,43250.000000,38369.851563,12110702
2018-12-04,42650.000000,42900.000000,41900.000000,42150.000000,37393.984375,14347746
2018-12-05,40900.000000,41750.000000,40850.000000,41450.000000,36772.960938,12631983
2018-12-06,40600.000000,41100.000000,40450.000000,40500.000000,35930.152344,14251826
2018-12-07,40900.000000,41400.000000,40850.000000,40950.000000,36329.382813,11433083
2018-12-10,40450.000000,40650.000000,40000.000000,40200.000000,35664.007813,14892263
2018-12-11,40600.000000,40700.000000,40200.000000,40250.000000,35708.355469,10638766
2018-12-12,40250.000000,40700.000000,40150.000000,40450.000000,35885.800781,12024279
2018-12-13,40650.000000,40750.000000,40000.000000,40000.000000,35486.570313,26254646
2018-12-14,40200.000000,40200.000000,38700.000000,38950.000000,34555.050781,19671783
2018-12-17,38650.000000,39600.000000,38650.000000,39150.000000,34732.480469,11532968
2018-12-18,38300.000000,39200.000000,38300.000000,38900.000000,34510.691406,11042101
2018-12-19,38900.000000,39350.000000,38850.000000,39100.000000,34688.117188,9942037
2018-12-20,38600.000000,39100.000000,38500.000000,38650.000000,34288.894531,11937617
2018-12-21,38200.000000,38650.000000,38100.000000,38650.000000,34288.894531,14947080
2018-12-24,38500.000000,39050.000000,38300.000000,38800.000000,34421.976563,9729530
2018-12-26,38400.000000,38750.000000,38300.000000,38350.000000,34022.750000,12707675
2018-12-27,38700.000000,38800.000000,38100.000000,38250.000000,34250.187500,10510643
2018-12-28,38250.000000,38900.000000,38200.000000,38700.000000,34653.128906,9900267
2019-01-02,39400.000000,39400.000000,38550.000000,38750.000000,34697.898438,7847664
2019-01-03,38300.000000,38550.000000,37450.000000,37600.000000,33668.164063,12471493
2019-01-04,37450.000000,37600.000000,36850.000000,37450.000000,33533.839844,14108958
2019-01-07,38000.000000,38900.000000,37800.000000,38750.000000,34697.898438,12748997
2019-01-08,38000.000000,39200.000000,37950.000000,38100.000000,34115.878906,12756554
2019-01-09,38650.000000,39600.000000,38300.000000,39600.000000,35459.023438,17452708
2019-01-10,40000.000000,40150.000000,39600.000000,39800.000000,35638.105469,14731699
2019-01-11,40350.000000,40550.000000,39950.000000,40500.000000,36264.902344,11661063
2019-01-14,40450.000000,40700.000000,39850.000000,40050.000000,35861.957031,11984996
2019-01-15,40050.000000,41100.000000,39850.000000,41100.000000,36802.167969,11492756
2019-01-16,41150.000000,41450.000000,40700.000000,41450.000000,37115.562500,8491595
2019-01-17,41700.000000,42100.000000,41450.000000,41950.000000,37563.285156,11736903
2019-01-18,42000.000000,42400.000000,41950.000000,42300.000000,37876.679688,11029256
2019-01-21,42700.000000,42750.000000,41900.000000,42750.000000,38279.632813,11355701
2019-01-22,42750.000000,42850.000000,41850.000000,42150.000000,37742.371094,9964356
2019-01-23,41350.000000,42250.000000,41350.000000,42000.000000,37608.050781,11071079
2019-01-24,43050.000000,43100.000000,42350.000000,43050.000000,38548.257813,14747623
2019-01-25,44300.000000,44750.000000,43750.000000,44750.000000,40070.484375,22789395
2019-01-28,45000.000000,45500.000000,44600.000000,45050.000000,40339.113281,17998914
2019-01-29,45050.000000,45500.000000,44350.000000,45500.000000,40742.054688,16215017
2019-01-30,44800.000000,46400.000000,44800.000000,46400.000000,41547.941406,17505980
2019-01-31,46650.000000,47050.000000,46150.000000,46150.000000,41324.082031,21621145
2019-02-01,46650.000000,46950.000000,46250.000000,46350.000000,41503.175781,13832454
2019-02-07,46800.000000,47100.000000,46200.000000,46200.000000,41368.859375,15872001
2019-02-08,45700.000000,45700.000000,44650.000000,44800.000000,40115.261719,12689196
2019-02-11,44500.000000,45000.000000,44250.000000,45000.000000,40294.335938,11125044
2019-02-12,44650.000000,46250.000000,44650.000000,46050.000000,41234.546875,13184367
2019-02-13,46400.000000,46700.000000,46000.000000,46200.000000,41368.859375,11299738
2019-02-14,46600.000000,47500.000000,46150.000000,47500.000000,42532.914063,17259341
2019-02-15,46750.000000,46850.000000,45650.000000,46050.000000,41234.546875,10554643
2019-02-18,46500.000000,46850.000000,45850.000000,46200.000000,41368.859375,8183728
2019-02-19,45850.000000,46150.000000,45450.000000,45950.000000,41144.996094,6741395
2019-02-20,46750.000000,47100.000000,46500.000000,46900.000000,41995.656250,11506720
2019-02-21,46500.000000,47200.000000,46200.000000,46950.000000,42040.421875,8694009
2019-02-22,46500.000000,47150.000000,46450.000000,47150.000000,42219.511719,6895772
2019-02-25,47400.000000,47550.000000,47050.000000,47350.000000,42398.605469,7484716
2019-02-26,47350.000000,47450.000000,46500.000000,46750.000000,41861.339844,7985547
2019-02-27,47000.000000,47250.000000,46750.000000,46750.000000,41861.339844,8045211
2019-02-28,46400.000000,46500.000000,45100.000000,45100.000000,40383.886719,23569321
2019-03-04,46000.000000,46100.000000,44800.000000,44850.000000,40160.027344,12926539
2019-03-05,44600.000000,45100.000000,44150.000000,44250.000000,39622.769531,10612405
2019-03-06,44000.000000,44300.000000,43700.000000,44000.000000,39398.906250,10202544
2019-03-07,43400.000000,44950.000000,43400.000000,44450.000000,39801.859375,11049749
2019-03-08,44450.000000,44800.000000,43800.000000,43800.000000,39219.828125,7729069
2019-03-11,44400.000000,44450.000000,43650.000000,43650.000000,39085.511719,10717408
2019-03-12,44300.000000,44950.000000,44150.000000,44650.000000,39980.937500,11431977
2019-03-13,44250.000000,44450.000000,43700.000000,43850.000000,39264.601563,8108343
2019-03-14,43700.000000,44300.000000,43550.000000,43850.000000,39264.601563,18039161
2019-03-15,43800.000000,44250.000000,43700.000000,44200.000000,39577.996094,16814163
2019-03-18,43950.000000,44150.000000,43450.000000,43700.000000,39130.285156,8188876
2019-03-19,43750.000000,43900.000000,43550.000000,43900.000000,39309.371094,7609563
2019-03-20,43800.000000,44200.000000,43100.000000,44050.000000,39443.691406,9846242
2019-03-21,44600.000000,46250.000000,44050.000000,45850.000000,41055.449219,21138016
2019-03-22,46850.000000,47000.000000,46250.000000,46550.000000,41682.257813,12535911
2019-03-25,45300.000000,45650.000000,44800.000000,45500.000000,40742.054688,8699728
2019-03-26,45500.000000,45700.000000,44900.000000,45250.000000,40518.195313,9729811
2019-03-27,44750.000000,45600.000000,44250.000000,45350.000000,40607.742188,9568081
2019-03-28,44950.000000,45200.000000,44300.000000,44850.000000,40475.980469,6821306
2019-03-29,44500.000000,44900.000000,44200.000000,44650.000000,40295.484375,11491713
2019-04-01,45200.000000,45450.000000,44850.000000,45050.000000,40656.472656,7362129
2019-04-02,45550.000000,46100.000000,45350.000000,45750.000000,41288.207031,9480688
2019-04-03,46750.000000,46750.000000,45800.000000,46600.000000,42055.304688,12436570
2019-04-04,46150.000000,47100.000000,46150.000000,46950.000000,42371.167969,12650168
2019-04-05,46950.000000,47550.000000,46600.000000,46850.000000,42280.925781,8546339
2019-04-08,47250.000000,47250.000000,46150.000000,46650.000000,42100.433594,8507909
2019-04-09,46700.000000,46950.000000,46200.000000,46650.000000,42100.433594,6878761
2019-04-10,46400.000000,46700.000000,46050.000000,46700.000000,42145.554688,11883995
2019-04-11,46700.000000,46800.000000,46150.000000,46250.000000,41739.445313,13697399
2019-04-12,46050.000000,46900.000000,46000.000000,46850.000000,42280.925781,7668936
2019-04-15,47150.000000,47500.000000,47000.000000,47050.000000,42461.414063,8733019
2019-04-16,47400.000000,47400.000000,46800.000000,47250.000000,42641.917969,7730881
2019-04-17,47300.000000,47600.000000,47000.000000,47050.000000,42461.414063,5513658
2019-04-18,47200.000000,47250.000000,45500.000000,45600.000000,41152.839844,12808747
2019-04-19,45750.000000,46000.000000,45250.000000,45300.000000,40882.093750,8479710
2019-04-22,45400.000000,45900.000000,45100.000000,45350.000000,40927.218750,6006957
2019-04-23,45050.000000,45500.000000,45000.000000,45200.000000,40791.847656,6920566
2019-04-24,45400.000000,45650.000000,44150.000000,44750.000000,40385.730469,13299267
2019-04-25,44250.000000,45000.000000,44100.000000,44650.000000,40295.484375,10868965
2019-04-26,44200.000000,45000.000000,43800.000000,44850.000000,40475.980469,9739982
2019-04-29,45150.000000,46150.000000,45100.000000,46150.000000,41649.195313,8777517
2019-04-30,46000.000000,46300.000000,45350.000000,45850.000000,41378.457031,11121273
2019-05-02,45500.000000,46150.000000,45400.000000,45900.000000,41423.578125,8625126
2019-05-03,45900.000000,46050.000000,45300.000000,45300.000000,40882.093750,6562916
2019-05-07,45250.000000,45300.000000,44400.000000,44850.000000,40475.980469,12014907
2019-05-08,44300.000000,44850.000000,44200.000000,44250.000000,39934.500000,10398754
2019-05-09,43900.000000,44250.000000,42450.000000,42450.000000,38310.046875,23029718
2019-05-10,42600.000000,43450.000000,42450.000000,42900.000000,38716.160156,14579512
2019-05-13,42500.000000,43200.000000,42350.000000,42650.000000,38490.527344,7635079
2019-05-14,41300.000000,43100.000000,41300.000000,42650.000000,38490.527344,11563730
2019-05-15,42700.000000,43050.000000,42550.000000,42550.000000,38400.285156,7670185
2019-05-16,42350.000000,42400.000000,41350.000000,41550.000000,37497.816406,13687828
