"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-12","46",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-13","44",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-14","42",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-15","43",,"33"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-16","43",,"34"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-17","48",,"34"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-18","48",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-19","53",,"38"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-20","50",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-21","44",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-22","47",,"35"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-23","48",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-24","49",,"39"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-25","46",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-26","45",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-27","42",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-28","46",,"36"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-29","48",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-30","53",,"39"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-31","46",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-01","47",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-02","49",,"38"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-03","54",,"40"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-04","59",,"44"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-05","53",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-06","50",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-07","58",,"48"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-08","56",,"47"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-09","59",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-10","63",,"50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-11","58",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-12","51",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-13","57",,"43"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-14","55",,"50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-15","63",,"52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-16","67",,"55"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-17","56",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-18","52",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-19","56",,"45"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-20","54",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-21","56",,"46"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-22","59",,"47"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-23","59",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-24","61",,"47"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-25","60",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-26","58",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-27","57",,"46"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-28","58",,"48"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-29","65",,"49"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-30","66",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-01","69",,"55"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-02","69",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-03","71",,"58"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-04","71",,"59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-05","66",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-06","59",,"50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-07","62",,"52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-08","66",,"52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-09","62",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-10","61",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-11","69",,"56"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-12","65",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-13","60",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-14","61",,"52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-15","61",,"54"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-16","62",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-17","66",,"54"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-18","69",,"57"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-19","70",,"59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-20","70",,"60"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-21","71",,"61"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-22","72",,"61"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-23","68",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-24","71",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-25","65",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-26","64",,"54"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-27","67",,"57"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-28","72",,"58"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-29","73",,"65"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-30","74",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-31","75",,"64"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-01","72",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-02","69",,"60"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-03","69",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-04","72",,"59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-05","77",,"62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-06","65",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-07","63",,"59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-08","69",,"59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-09","70",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-10","69",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-11","74",,"59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-12","72",,"63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-13","70",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-14","71",,"64"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-15","74",,"64"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-16","78",,"68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-17","74",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-18","76",,"65"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-19","77",,"67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-20","80",,"68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-21","77",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-22","78",,"70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-23","81",,"70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-24","75",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-25","75",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-26","74",,"68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-27","78",,"69"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-28","79",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-29","79",,"71"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-30","79","88","72"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-01","78",,"72"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-02","76",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-03","77",,"71"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-04","80",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-05","82",,"74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-06","82",,"75"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-07","80",,"76"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-08","79",,"76"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-09","79",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-10","74",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-11","80",,"72"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-12","80",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-13","83",,"74"
